ID	x_min [cMpc/h]	x_max [cMpc/h]	y_min [cMpc/h]	y_max [cMpc/h]	z_min [cMpc/h]	z_max [cMpc/h]	len
0	41	47	45	54	143	150	25680412
1	41	83	45	122	143	196	25641998
2	78	121	65	122	190	197	25941178
3	83	135	35	84	34	197	25794343
4	45	137	34	74	32	145	25925935
5	45	200	69	114	141	201	25755737
6	46	200	6	192	96	201	26113564
7	0	204	6	168	60	196	25896404
8	0	204	22	169	59	193	26123423
9	91	171	21	177	79	166	26350445
10	18	191	41	177	12	169	25998438
11	7	157	28	146	87	196	26327978
12	7	149	31	184	12	196	26090829
13	17	95	29	193	10	145	26078613
14	32	158	40	99	33	180	26363710
15	32	144	39	196	58	142	25886706
16	8	111	5	202	84	202	26118455
17	42	173	29	184	13	202	26299214
18	54	198	38	184	1	186	25980529
19	1	86	15	144	79	189	26048294
20	45	166	0	204	5	174	26250050
21	1	166	5	189	4	186	26193279
22	19	179	45	180	0	204	25940750
23	44	171	18	190	33	169	26239359
24	54	171	28	138	50	168	26382764
25	31	188	12	170	0	204	26056461
26	34	183	25	170	46	189	26131158
27	21	152	59	203	16	198	25951108
28	21	193	18	194	6	185	26102040
29	31	199	27	158	11	172	26272741
30	50	191	4	190	0	204	26072759
31	39	187	15	155	4	198	26127061
32	2	138	2	197	7	201	26128151
33	6	191	1	201	24	153	26052635
34	49	197	10	190	0	204	26247125
35	6	188	39	203	2	193	26129580
36	43	204	7	191	4	196	26094301
37	42	203	0	196	3	181	26062080
38	45	200	50	196	2	185	26078268
39	0	204	6	174	8	201	25851439
40	4	193	10	143	34	202	25775466
41	5	199	21	185	7	204	25960879
42	0	204	12	203	12	201	26158937
43	11	181	11	202	23	191	26018444
44	0	204	11	196	10	196	26022800
45	0	204	6	203	21	204	26040120
46	33	182	24	180	0	204	26056999
47	8	183	9	201	9	199	26058067
48	20	197	14	190	0	204	25878185
49	11	179	15	181	0	204	26014603
