  ID    x_min [cMpc/h]    x_max [cMpc/h]    y_min [cMpc/h]    y_max [cMpc/h]    z_min [cMpc/h]    z_max [cMpc/h]          len
   0                41                47                45                54               143               150  2.56804e+07
   1                41                83                45               122               143               196  2.5642e+07
   2                78               121                65               122               190               197  2.59412e+07
   3                83               135                35                84                34               197  2.57943e+07
   4                45               137                34                74                32               145  2.59259e+07
   5                45               200                69               114               141               201  2.57557e+07
   6                46               200                 6               192                96               201  2.61136e+07
   7                 0               204                 6               168                60               196  2.58964e+07
   8                 0               204                22               169                59               193  2.61234e+07
   9                91               171                21               177                79               166  2.63504e+07
  10                18               191                41               177                12               169  2.59984e+07
  11                 7               157                28               146                87               196  2.6328e+07
  12                 7               149                31               184                12               196  2.60908e+07
  13                17                95                29               193                10               145  2.60786e+07
  14                32               158                40                99                33               180  2.63637e+07
  15                32               144                39               196                58               142  2.58867e+07
  16                 8               111                 5               202                84               202  2.61185e+07
  17                42               173                29               184                13               202  2.62992e+07
  18                54               198                38               184                 1               186  2.59805e+07
  19                 1                86                15               144                79               189  2.60483e+07
  20                45               166                 0               204                 5               174  2.62500e+07
  21                 1               166                 5               189                 4               186  2.61933e+07
  22                19               179                45               180                 0               204  2.59408e+07
  23                44               171                18               190                33               169  2.62394e+07
  24                54               171                28               138                50               168  2.63828e+07
  25                31               188                12               170                 0               204  2.60565e+07
  26                34               183                25               170                46               189  2.61312e+07
  27                21               152                59               203                16               198  2.59511e+07
  28                21               193                18               194                 6               185  2.6102e+07
  29                31               199                27               158                11               172  2.62727e+07
  30                50               191                 4               190                 0               204  2.60728e+07
  31                39               187                15               155                 4               198  2.61271e+07
  32                 2               138                 2               197                 7               201  2.61282e+07
  33                 6               191                 1               201                24               153  2.60526e+07
  34                49               197                10               190                 0               204  2.62471e+07
  35                 6               188                39               203                 2               193  2.61296e+07
  36                43               204                 7               191                 4               196  2.60943e+07
  37                42               203                 0               196                 3               181  2.60621e+07
  38                45               200                50               196                 2               185  2.60783e+07
  39                 0               204                 6               174                 8               201  2.58514e+07
  40                 4               193                10               143                34               202  2.57755e+07
  41                 5               199                21               185                 7               204  2.59609e+07
  42                 0               204                12               203                12               201  2.61589e+07
  43                11               181                11               202                23               191  2.60184e+07
  44                 0               204                11               196                10               196  2.60228e+07
  45                 0               204                 6               203                21               204  2.60401e+07
  46                33               182                24               180                 0               204  2.6057e+07
  47                 8               183                 9               201                 9               199  2.60581e+07
  48                20               197                14               190                 0               204  2.58782e+07
  49                11               179                15               181                 0               204  2.60146e+07
