  ID    x_min [cMpc/h]    x_max [cMpc/h]    y_min [cMpc/h]    y_max [cMpc/h]    z_min [cMpc/h]    z_max [cMpc/h]          len
  50                13               180                 0               204                32               184  2.60722e+07
  51                 2               193                 5               197                 8               195  2.60129e+07
  52                 7               188                 6               192                 9               194  2.58763e+07
  53                 2               203                 0               204                22               194  2.58557e+07
  54                 4               190                 5               197                 1               196  2.62623e+07
  55                 4               189                21               194                 4               203  2.61293e+07
  56                 2               203                10               191                12               200  2.61839e+07
  57                 0               204                17               201                 0               178  2.60254e+07
  58                 0               202                 1               196                 6               193  2.60019e+07
  59                 7               202                 1               202                 4               186  2.62641e+07
  60                11               188                 4               199                14               201  2.59367e+07
  61                 2               187                 8               200                16               197  2.62146e+07
  62                15               198                 0               204                 4               198  2.56949e+07
  63                14               198                 0               204                 4               198  2.63373e+07
  64                 9               198                 2               177                 0               198  2.60517e+07
  65                 1               202                 1               200                 1               204  2.59973e+07
  66                 0               204                 0               188                 3               191  2.61272e+07
  67                 0               204                 0               202                 0               200  2.60329e+07
  68                13               204                 4               201                 6               199  2.57911e+07
  69                10               203                 9               201                 7               186  2.58241e+07
  70                 4               190                 0               197                 9               192  2.62812e+07
  71                 8               190                 3               203                 8               204  2.60818e+07
  72                 9               199                23               199                 6               195  2.64415e+07
  73                14               199                16               202                 5               198  2.58928e+07
  74                 0               204                 0               204                 4               194  2.60647e+07
  75                 3               198                 4               197                21               200  2.61955e+07
  76                 9               203                 0               204                24               200  2.58497e+07
  77                14               200                 0               199                 3               201  2.58653e+07
  78                 1               200                 0               204                 1               200  2.60424e+07
  79                12               194                 0               204                 1               203  2.6139e+07
  80                 3               195                 3               201                 0               204  2.58881e+07
  81                 2               184                 0               204                 0               204  2.60805e+07
  82                14               204                 0               203                 9               203  2.60482e+07
  83                 0               204                 0               202                 4               197  2.58216e+07
  84                29               196                 3               204                 0               204  2.61302e+07
  85                 8               198                 9               199                 3               201  2.59031e+07
  86                12               200                 0               196                 0               202  2.6143e+07
  87                 3               202                 2               189                 0               204  2.60241e+07
  88                 0               204                 0               204                 2               179  2.58704e+07
  89                 0               204                 0               204                 1               196  2.61259e+07
  90                 0               204                 2               203                 3               201  2.59071e+07
  91                 3               203                 0               204                 3               203  2.61289e+07
  92                 1               203                 7               201                 0               204  2.60847e+07
  93                 0               204                 0               204                 2               203  2.63198e+07
  94                 1               197                 5               204                 1               199  2.61071e+07
  95                 0               204                 0               204                 0               204  2.59312e+07
  96                 1               201                 0               204                 1               190  2.61239e+07
  97                 6               200                 0               204                 0               204  2.60375e+07
  98                 1               201                11               203                 4               202  2.57452e+07
  99                 1               203                 3               203                 3               200  2.59727e+07
